Transaction ID,Date,Product Category,Product Name,Color,Units Sold,Unit Price,Total Revenue,Region,Payment Method
1032,2024-01-01,Lower Wear,Cargo Shorts,Khaki,2,1299,2598,Delhi,UPI
1033,2024-01-01,Lower Wear,Jogger Pants,Navy,3,1799,5397,Delhi,Credit Card
1034,2024-01-01,Lower Wear,Chino Pants,Beige,3,1999,5997,Delhi,Credit Card
1035,2024-01-01,Upper Wear,Slim Fit T-Shirt,Black,2,799,1598,Delhi,UPI
1036,2024-01-01,Upper Wear,Denim Jacket,Black,3,4999,14997,Delhi,UPI
1037,2024-01-01,Lower Wear,Jogger Pants,Navy,1,1799,1799,Hyderabad,UPI
1038,2024-01-01,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Hyderabad,Credit Card
1039,2024-01-01,Upper Wear,Denim Jacket,Black,2,4999,9998,Hyderabad,UPI
1040,2024-01-01,Lower Wear,Chino Pants,Beige,3,1999,5997,Hyderabad,UPI
1041,2024-01-01,Upper Wear,Denim Jacket,Black,3,4999,14997,Hyderabad,Debit Card
1042,2024-01-01,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Hyderabad,Credit Card
1043,2024-01-01,Upper Wear,Casual Shirt,Grey,3,1499,4497,Hyderabad,UPI
1044,2024-01-01,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Hyderabad,UPI
1045,2024-01-01,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Hyderabad,Credit Card
1046,2024-01-02,Lower Wear,Jogger Pants,Navy,3,1799,5397,Bangalore,UPI
1047,2024-01-02,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,Credit Card
1048,2024-01-02,Upper Wear,Denim Jacket,Indigo,2,4999,9998,Bangalore,UPI
1049,2024-01-02,Lower Wear,Jogger Pants,Navy,2,1799,3598,Bangalore,Credit Card
1050,2024-01-02,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Bangalore,Debit Card
1051,2024-01-02,Lower Wear,Cargo Shorts,Black,1,1299,1299,Bangalore,Credit Card
1052,2024-01-02,Upper Wear,Slim Fit T-Shirt,Black,1,799,799,Bangalore,Credit Card
1053,2024-01-02,Lower Wear,Jogger Pants,Navy,1,1799,1799,Bangalore,Credit Card
1054,2024-01-02,Lower Wear,Jogger Pants,Grey,1,1799,1799,Bangalore,Debit Card
1055,2024-01-02,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,UPI
1056,2024-01-02,Upper Wear,Denim Jacket,Indigo,2,4999,9998,Bangalore,Debit Card
1057,2024-01-02,Upper Wear,Hooded Sweatshirt,Red,1,2499,2499,Bangalore,Credit Card
1058,2024-01-02,Lower Wear,Slim Jeans,Dark Blue,2,2999,5998,Mumbai,UPI
1059,2024-01-02,Upper Wear,Denim Jacket,Black,2,4999,9998,Mumbai,Debit Card
1060,2024-01-02,Upper Wear,Slim Fit T-Shirt,Black,1,799,799,Mumbai,Credit Card
1061,2024-01-02,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Mumbai,Debit Card
1062,2024-01-02,Lower Wear,Cargo Shorts,Black,1,1299,1299,Mumbai,Debit Card
1063,2024-01-02,Lower Wear,Cargo Shorts,Khaki,1,1299,1299,Mumbai,UPI
1064,2024-01-02,Lower Wear,Chino Pants,Beige,3,1999,5997,Mumbai,Debit Card
1065,2024-01-02,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Mumbai,UPI
1066,2024-01-02,Lower Wear,Cargo Shorts,Khaki,1,1299,1299,Mumbai,UPI
1067,2024-01-02,Upper Wear,Casual Shirt,Blue,1,1499,1499,Mumbai,UPI
1068,2024-01-02,Lower Wear,Chino Pants,Olive,1,1999,1999,Mumbai,Credit Card
1069,2024-01-02,Lower Wear,Cargo Shorts,Black,2,1299,2598,Mumbai,Debit Card
1070,2024-01-02,Lower Wear,Jogger Pants,Grey,1,1799,1799,Delhi,UPI
1071,2024-01-02,Lower Wear,Cargo Shorts,Black,1,1299,1299,Delhi,Debit Card
1072,2024-01-02,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Delhi,UPI
1073,2024-01-02,Lower Wear,Cargo Shorts,Black,2,1299,2598,Delhi,Debit Card
1074,2024-01-02,Upper Wear,Casual Shirt,Blue,2,1499,2998,Delhi,UPI
1075,2024-01-02,Lower Wear,Jogger Pants,Navy,3,1799,5397,Delhi,Debit Card
1076,2024-01-02,Upper Wear,Hooded Sweatshirt,Black,1,2499,2499,Delhi,Debit Card
1077,2024-01-02,Upper Wear,Casual Shirt,Blue,2,1499,2998,Delhi,UPI
1078,2024-01-02,Upper Wear,Denim Jacket,Black,1,4999,4999,Delhi,UPI
1079,2024-01-02,Lower Wear,Jogger Pants,Navy,3,1799,5397,Delhi,UPI
1080,2024-01-02,Lower Wear,Jogger Pants,Grey,1,1799,1799,Delhi,Credit Card
1081,2024-01-02,Lower Wear,Jogger Pants,Grey,2,1799,3598,Delhi,Debit Card
1082,2024-01-02,Lower Wear,Chino Pants,Beige,2,1999,3998,Hyderabad,UPI
1083,2024-01-02,Upper Wear,Slim Fit T-Shirt,Black,2,799,1598,Hyderabad,Credit Card
1084,2024-01-02,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Hyderabad,UPI
1085,2024-01-02,Upper Wear,Casual Shirt,Blue,1,1499,1499,Hyderabad,Credit Card
1086,2024-01-02,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Hyderabad,Credit Card
1087,2024-01-02,Upper Wear,Denim Jacket,Black,3,4999,14997,Hyderabad,UPI
1088,2024-01-02,Lower Wear,Chino Pants,Beige,1,1999,1999,Hyderabad,Debit Card
1089,2024-01-02,Upper Wear,Slim Fit T-Shirt,White,1,799,799,Hyderabad,Debit Card
1090,2024-01-02,Lower Wear,Cargo Shorts,Black,3,1299,3897,Hyderabad,UPI
1091,2024-01-03,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Bangalore,Debit Card
1092,2024-01-03,Lower Wear,Jogger Pants,Navy,1,1799,1799,Bangalore,Debit Card
1093,2024-01-03,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,Credit Card
1094,2024-01-03,Upper Wear,Slim Fit T-Shirt,Black,3,799,2397,Bangalore,Debit Card
1095,2024-01-03,Upper Wear,Casual Shirt,Grey,1,1499,1499,Bangalore,Debit Card
1096,2024-01-03,Lower Wear,Slim Jeans,Dark Blue,2,2999,5998,Bangalore,Credit Card
1097,2024-01-03,Lower Wear,Cargo Shorts,Black,1,1299,1299,Bangalore,Debit Card
1098,2024-01-03,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Bangalore,Debit Card
1099,2024-01-03,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Bangalore,Credit Card
1100,2024-01-03,Upper Wear,Casual Shirt,Blue,1,1499,1499,Bangalore,Debit Card
1101,2024-01-03,Upper Wear,Denim Jacket,Indigo,2,4999,9998,Bangalore,UPI
1102,2024-01-03,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Bangalore,Debit Card
1103,2024-01-03,Lower Wear,Jogger Pants,Grey,3,1799,5397,Mumbai,Debit Card
1104,2024-01-03,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Mumbai,UPI
1105,2024-01-03,Lower Wear,Cargo Shorts,Black,3,1299,3897,Mumbai,Credit Card
1106,2024-01-03,Upper Wear,Denim Jacket,Black,3,4999,14997,Mumbai,Debit Card
1107,2024-01-03,Upper Wear,Hooded Sweatshirt,Red,3,2499,7497,Mumbai,Credit Card
1108,2024-01-03,Upper Wear,Hooded Sweatshirt,Red,1,2499,2499,Mumbai,UPI
1109,2024-01-03,Lower Wear,Slim Jeans,Light Blue,1,2999,2999,Mumbai,UPI
1110,2024-01-03,Lower Wear,Jogger Pants,Navy,2,1799,3598,Mumbai,Credit Card
1111,2024-01-03,Upper Wear,Denim Jacket,Black,3,4999,14997,Mumbai,Credit Card
1112,2024-01-03,Lower Wear,Chino Pants,Beige,3,1999,5997,Mumbai,Debit Card
1113,2024-01-03,Lower Wear,Slim Jeans,Light Blue,1,2999,2999,Mumbai,Debit Card
1114,2024-01-03,Upper Wear,Hooded Sweatshirt,Black,1,2499,2499,Mumbai,UPI
1115,2024-01-03,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Delhi,UPI
1116,2024-01-03,Lower Wear,Jogger Pants,Navy,2,1799,3598,Delhi,Debit Card
1117,2024-01-03,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Delhi,UPI
1118,2024-01-03,Lower Wear,Slim Jeans,Dark Blue,3,2999,8997,Delhi,Debit Card
1119,2024-01-03,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Delhi,Debit Card
1120,2024-01-03,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Delhi,UPI
1121,2024-01-03,Lower Wear,Chino Pants,Beige,1,1999,1999,Delhi,Credit Card
1122,2024-01-03,Upper Wear,Slim Fit T-Shirt,Black,1,799,799,Delhi,Credit Card
1123,2024-01-03,Lower Wear,Slim Jeans,Dark Blue,2,2999,5998,Delhi,UPI
1124,2024-01-03,Lower Wear,Cargo Shorts,Khaki,2,1299,2598,Delhi,UPI
1125,2024-01-03,Upper Wear,Hooded Sweatshirt,Red,3,2499,7497,Delhi,Debit Card
1126,2024-01-03,Lower Wear,Jogger Pants,Grey,1,1799,1799,Delhi,UPI
1127,2024-01-03,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Hyderabad,UPI
1128,2024-01-03,Lower Wear,Chino Pants,Beige,3,1999,5997,Hyderabad,Credit Card
1129,2024-01-03,Lower Wear,Cargo Shorts,Khaki,1,1299,1299,Hyderabad,Debit Card
1130,2024-01-03,Lower Wear,Cargo Shorts,Khaki,3,1299,3897,Hyderabad,Credit Card
1131,2024-01-03,Upper Wear,Hooded Sweatshirt,Black,1,2499,2499,Hyderabad,Credit Card
1132,2024-01-03,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Hyderabad,Debit Card
1133,2024-01-03,Lower Wear,Chino Pants,Beige,2,1999,3998,Hyderabad,Credit Card
1134,2024-01-03,Upper Wear,Casual Shirt,Grey,1,1499,1499,Hyderabad,Credit Card
1135,2024-01-03,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Hyderabad,UPI
1136,2024-01-04,Lower Wear,Slim Jeans,Dark Blue,2,2999,5998,Bangalore,Debit Card
1137,2024-01-04,Lower Wear,Chino Pants,Beige,1,1999,1999,Bangalore,UPI
1138,2024-01-04,Upper Wear,Hooded Sweatshirt,Red,2,2499,4998,Bangalore,Credit Card
1139,2024-01-04,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Bangalore,Credit Card
1140,2024-01-04,Lower Wear,Jogger Pants,Grey,2,1799,3598,Bangalore,Credit Card
1141,2024-01-04,Upper Wear,Hooded Sweatshirt,Black,1,2499,2499,Bangalore,UPI
1142,2024-01-04,Upper Wear,Casual Shirt,Grey,3,1499,4497,Bangalore,Credit Card
1143,2024-01-04,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Bangalore,Credit Card
1144,2024-01-04,Lower Wear,Slim Jeans,Light Blue,3,2999,8997,Bangalore,Credit Card
1145,2024-01-04,Lower Wear,Jogger Pants,Grey,3,1799,5397,Bangalore,UPI
1146,2024-01-04,Lower Wear,Jogger Pants,Grey,3,1799,5397,Bangalore,Debit Card
1147,2024-01-04,Lower Wear,Jogger Pants,Navy,2,1799,3598,Bangalore,UPI
1148,2024-01-04,Upper Wear,Denim Jacket,Black,2,4999,9998,Mumbai,Debit Card
1149,2024-01-04,Upper Wear,Hooded Sweatshirt,Red,2,2499,4998,Mumbai,Credit Card
1150,2024-01-04,Lower Wear,Slim Jeans,Light Blue,1,2999,2999,Mumbai,UPI
1151,2024-01-04,Lower Wear,Cargo Shorts,Black,2,1299,2598,Mumbai,Debit Card
1152,2024-01-04,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Mumbai,UPI
1153,2024-01-04,Upper Wear,Denim Jacket,Black,3,4999,14997,Mumbai,Debit Card
1154,2024-01-04,Lower Wear,Chino Pants,Beige,2,1999,3998,Mumbai,UPI
1155,2024-01-04,Lower Wear,Jogger Pants,Grey,1,1799,1799,Mumbai,Debit Card
1156,2024-01-04,Lower Wear,Chino Pants,Beige,2,1999,3998,Mumbai,UPI
1157,2024-01-04,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Mumbai,UPI
1158,2024-01-04,Lower Wear,Chino Pants,Beige,1,1999,1999,Mumbai,UPI
1159,2024-01-04,Upper Wear,Casual Shirt,Blue,1,1499,1499,Mumbai,Debit Card
1160,2024-01-04,Lower Wear,Jogger Pants,Navy,3,1799,5397,Delhi,Debit Card
1161,2024-01-04,Lower Wear,Jogger Pants,Grey,3,1799,5397,Delhi,Debit Card
1162,2024-01-04,Upper Wear,Casual Shirt,Blue,3,1499,4497,Delhi,Debit Card
1163,2024-01-04,Lower Wear,Chino Pants,Beige,1,1999,1999,Delhi,Debit Card
1164,2024-01-04,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Delhi,Debit Card
1165,2024-01-04,Upper Wear,Slim Fit T-Shirt,Black,2,799,1598,Delhi,UPI
1166,2024-01-04,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Delhi,Debit Card
1167,2024-01-04,Lower Wear,Cargo Shorts,Black,1,1299,1299,Delhi,UPI
1168,2024-01-04,Upper Wear,Hooded Sweatshirt,Black,1,2499,2499,Delhi,UPI
1169,2024-01-04,Lower Wear,Cargo Shorts,Black,2,1299,2598,Delhi,Credit Card
1170,2024-01-04,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Delhi,UPI
1171,2024-01-04,Upper Wear,Casual Shirt,Blue,2,1499,2998,Delhi,Credit Card
1172,2024-01-04,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Hyderabad,UPI
1173,2024-01-04,Upper Wear,Casual Shirt,Blue,3,1499,4497,Hyderabad,UPI
1174,2024-01-04,Upper Wear,Slim Fit T-Shirt,White,3,799,2397,Hyderabad,Credit Card
1175,2024-01-04,Lower Wear,Jogger Pants,Navy,2,1799,3598,Hyderabad,UPI
1176,2024-01-04,Lower Wear,Cargo Shorts,Khaki,3,1299,3897,Hyderabad,Credit Card
1177,2024-01-04,Upper Wear,Casual Shirt,Grey,2,1499,2998,Hyderabad,Debit Card
1178,2024-01-04,Upper Wear,Slim Fit T-Shirt,White,3,799,2397,Hyderabad,Credit Card
1179,2024-01-04,Lower Wear,Jogger Pants,Navy,2,1799,3598,Hyderabad,Credit Card
1180,2024-01-04,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Hyderabad,UPI
1181,2024-01-05,Lower Wear,Chino Pants,Beige,2,1999,3998,Bangalore,UPI
1182,2024-01-05,Upper Wear,Slim Fit T-Shirt,Black,3,799,2397,Bangalore,UPI
1183,2024-01-05,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,Credit Card
1184,2024-01-05,Upper Wear,Slim Fit T-Shirt,White,1,799,799,Bangalore,UPI
1185,2024-01-05,Upper Wear,Casual Shirt,Grey,1,1499,1499,Bangalore,Debit Card
1186,2024-01-05,Upper Wear,Casual Shirt,Grey,2,1499,2998,Bangalore,Debit Card
1187,2024-01-05,Lower Wear,Slim Jeans,Dark Blue,3,2999,8997,Bangalore,UPI
1188,2024-01-05,Lower Wear,Cargo Shorts,Black,1,1299,1299,Bangalore,UPI
1189,2024-01-05,Upper Wear,Hooded Sweatshirt,Red,1,2499,2499,Bangalore,Debit Card
1190,2024-01-05,Lower Wear,Slim Jeans,Light Blue,2,2999,5998,Bangalore,Debit Card
1191,2024-01-05,Upper Wear,Casual Shirt,Grey,1,1499,1499,Bangalore,Credit Card
1192,2024-01-05,Upper Wear,Hooded Sweatshirt,Red,2,2499,4998,Bangalore,Debit Card
1193,2024-01-05,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Mumbai,UPI
1194,2024-01-05,Upper Wear,Slim Fit T-Shirt,White,3,799,2397,Mumbai,Debit Card
1195,2024-01-05,Lower Wear,Cargo Shorts,Black,1,1299,1299,Mumbai,Debit Card
1196,2024-01-05,Lower Wear,Chino Pants,Beige,3,1999,5997,Mumbai,UPI
1197,2024-01-05,Upper Wear,Casual Shirt,Grey,1,1499,1499,Mumbai,Debit Card
1198,2024-01-05,Lower Wear,Slim Jeans,Light Blue,2,2999,5998,Mumbai,Debit Card
1199,2024-01-05,Lower Wear,Chino Pants,Beige,2,1999,3998,Mumbai,Debit Card
1200,2024-01-05,Lower Wear,Jogger Pants,Navy,3,1799,5397,Mumbai,UPI
1201,2024-01-05,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Mumbai,UPI
1202,2024-01-05,Lower Wear,Cargo Shorts,Khaki,2,1299,2598,Mumbai,Credit Card
1203,2024-01-05,Lower Wear,Slim Jeans,Light Blue,1,2999,2999,Mumbai,Debit Card
1204,2024-01-05,Lower Wear,Slim Jeans,Dark Blue,2,2999,5998,Mumbai,Debit Card
1205,2024-01-05,Upper Wear,Slim Fit T-Shirt,Black,2,799,1598,Delhi,Credit Card
1206,2024-01-05,Lower Wear,Chino Pants,Beige,3,1999,5997,Delhi,Credit Card
1207,2024-01-05,Lower Wear,Cargo Shorts,Black,3,1299,3897,Delhi,Credit Card
1208,2024-01-05,Upper Wear,Casual Shirt,Blue,3,1499,4497,Delhi,Credit Card
1209,2024-01-05,Lower Wear,Chino Pants,Beige,2,1999,3998,Delhi,UPI
1210,2024-01-05,Upper Wear,Slim Fit T-Shirt,White,2,799,1598,Delhi,UPI
1211,2024-01-05,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Delhi,Credit Card
1212,2024-01-05,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Delhi,UPI
1213,2024-01-05,Lower Wear,Jogger Pants,Grey,3,1799,5397,Delhi,Credit Card
1214,2024-01-05,Upper Wear,Denim Jacket,Indigo,1,4999,4999,Delhi,Credit Card
1215,2024-01-05,Upper Wear,Casual Shirt,Blue,3,1499,4497,Delhi,Debit Card
1216,2024-01-05,Lower Wear,Chino Pants,Beige,2,1999,3998,Delhi,Credit Card
1217,2024-01-05,Lower Wear,Chino Pants,Beige,3,1999,5997,Hyderabad,Debit Card
1218,2024-01-05,Upper Wear,Casual Shirt,Grey,1,1499,1499,Hyderabad,UPI
1219,2024-01-05,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Hyderabad,Credit Card
1220,2024-01-05,Lower Wear,Cargo Shorts,Black,3,1299,3897,Hyderabad,Credit Card
1221,2024-01-05,Lower Wear,Cargo Shorts,Khaki,1,1299,1299,Hyderabad,Credit Card
1222,2024-01-05,Upper Wear,Casual Shirt,Blue,2,1499,2998,Hyderabad,Credit Card
1223,2024-01-05,Lower Wear,Slim Jeans,Dark Blue,3,2999,8997,Hyderabad,Credit Card
1224,2024-01-05,Lower Wear,Cargo Shorts,Khaki,1,1299,1299,Hyderabad,UPI
1225,2024-01-05,Upper Wear,Casual Shirt,Grey,2,1499,2998,Hyderabad,Credit Card
1226,2024-01-06,Upper Wear,Denim Jacket,Indigo,2,4999,9998,Bangalore,Debit Card
1227,2024-01-06,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,Credit Card
1228,2024-01-06,Lower Wear,Slim Jeans,Light Blue,3,2999,8997,Bangalore,UPI
1229,2024-01-06,Upper Wear,Hooded Sweatshirt,Black,1,2499,2499,Bangalore,UPI
1230,2024-01-06,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Bangalore,UPI
1231,2024-01-06,Upper Wear,Slim Fit T-Shirt,Black,3,799,2397,Bangalore,Credit Card
1232,2024-01-06,Lower Wear,Cargo Shorts,Black,3,1299,3897,Bangalore,Debit Card
1233,2024-01-06,Lower Wear,Cargo Shorts,Black,1,1299,1299,Bangalore,UPI
1234,2024-01-06,Upper Wear,Denim Jacket,Black,2,4999,9998,Bangalore,UPI
1235,2024-01-06,Lower Wear,Cargo Shorts,Black,3,1299,3897,Bangalore,Credit Card
1236,2024-01-06,Upper Wear,Slim Fit T-Shirt,Black,2,799,1598,Bangalore,Debit Card
1237,2024-01-06,Lower Wear,Cargo Shorts,Black,1,1299,1299,Bangalore,UPI
1238,2024-01-06,Upper Wear,Hooded Sweatshirt,Black,1,2499,2499,Bangalore,Credit Card
1239,2024-01-06,Lower Wear,Jogger Pants,Grey,1,1799,1799,Mumbai,Credit Card
1240,2024-01-06,Lower Wear,Jogger Pants,Grey,1,1799,1799,Mumbai,Credit Card
1241,2024-01-06,Upper Wear,Denim Jacket,Black,2,4999,9998,Mumbai,Debit Card
1242,2024-01-06,Upper Wear,Slim Fit T-Shirt,Black,2,799,1598,Mumbai,Credit Card
1243,2024-01-06,Upper Wear,Hooded Sweatshirt,Red,1,2499,2499,Mumbai,Credit Card
1244,2024-01-06,Lower Wear,Jogger Pants,Navy,2,1799,3598,Mumbai,Debit Card
1245,2024-01-06,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Mumbai,UPI
1246,2024-01-06,Lower Wear,Jogger Pants,Grey,2,1799,3598,Mumbai,UPI
1247,2024-01-06,Lower Wear,Cargo Shorts,Black,2,1299,2598,Mumbai,Debit Card
1248,2024-01-06,Upper Wear,Casual Shirt,Blue,2,1499,2998,Mumbai,UPI
1249,2024-01-06,Lower Wear,Chino Pants,Beige,1,1999,1999,Mumbai,Debit Card
1250,2024-01-06,Upper Wear,Hooded Sweatshirt,Red,1,2499,2499,Mumbai,Debit Card
1251,2024-01-06,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Mumbai,Credit Card
1252,2024-01-06,Lower Wear,Chino Pants,Beige,2,1999,3998,Delhi,Debit Card
1253,2024-01-06,Lower Wear,Jogger Pants,Navy,3,1799,5397,Delhi,UPI
1254,2024-01-06,Lower Wear,Jogger Pants,Navy,1,1799,1799,Delhi,Debit Card
1255,2024-01-06,Upper Wear,Casual Shirt,Grey,2,1499,2998,Delhi,UPI
1256,2024-01-06,Upper Wear,Hooded Sweatshirt,Black,2,2499,4998,Delhi,UPI
1257,2024-01-06,Lower Wear,Cargo Shorts,Khaki,2,1299,2598,Delhi,Credit Card
1258,2024-01-06,Lower Wear,Jogger Pants,Navy,3,1799,5397,Delhi,Credit Card
1259,2024-01-06,Upper Wear,Casual Shirt,Blue,2,1499,2998,Delhi,UPI
1260,2024-01-06,Upper Wear,Casual Shirt,Blue,3,1499,4497,Delhi,Credit Card
1261,2024-01-06,Upper Wear,Casual Shirt,Grey,1,1499,1499,Delhi,UPI
1262,2024-01-06,Lower Wear,Chino Pants,Beige,2,1999,3998,Delhi,Credit Card
1263,2024-01-06,Lower Wear,Cargo Shorts,Khaki,3,1299,3897,Delhi,UPI
1264,2024-01-06,Upper Wear,Denim Jacket,Black,2,4999,9998,Delhi,Debit Card
1265,2024-01-06,Upper Wear,Casual Shirt,Blue,2,1499,2998,Hyderabad,Debit Card
1266,2024-01-06,Lower Wear,Cargo Shorts,Khaki,3,1299,3897,Hyderabad,UPI
1267,2024-01-06,Upper Wear,Denim Jacket,Black,1,4999,4999,Hyderabad,UPI
1268,2024-01-06,Lower Wear,Jogger Pants,Navy,3,1799,5397,Hyderabad,Debit Card
1269,2024-01-06,Lower Wear,Slim Jeans,Dark Blue,3,2999,8997,Hyderabad,Debit Card
1270,2024-01-06,Upper Wear,Denim Jacket,Black,3,4999,14997,Hyderabad,Credit Card
1271,2024-01-06,Lower Wear,Jogger Pants,Grey,2,1799,3598,Hyderabad,Credit Card
1272,2024-01-06,Upper Wear,Casual Shirt,Grey,1,1499,1499,Hyderabad,Credit Card
1273,2024-01-06,Upper Wear,Casual Shirt,Grey,1,1499,1499,Hyderabad,Debit Card
1274,2024-01-06,Lower Wear,Chino Pants,Beige,3,1999,5997,Hyderabad,Debit Card
1275,2024-01-07,Lower Wear,Jogger Pants,Navy,1,1799,1799,Bangalore,Debit Card
1276,2024-01-07,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Bangalore,Credit Card
1277,2024-01-07,Upper Wear,Hooded Sweatshirt,Black,2,2499,4998,Bangalore,Credit Card
1278,2024-01-07,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,Credit Card
1279,2024-01-07,Upper Wear,Casual Shirt,Grey,3,1499,4497,Bangalore,UPI
1280,2024-01-07,Lower Wear,Chino Pants,Beige,1,1999,1999,Bangalore,Debit Card
1281,2024-01-07,Lower Wear,Chino Pants,Beige,2,1999,3998,Bangalore,UPI
1282,2024-01-07,Lower Wear,Chino Pants,Beige,1,1999,1999,Bangalore,Debit Card
1283,2024-01-07,Lower Wear,Slim Jeans,Dark Blue,3,2999,8997,Bangalore,UPI
