Transaction ID,Date,Product Category,Product Name,Color,Units Sold,Unit Price,Total Revenue,Region
489557,2009-12-01,Bags & Storage,Woodland Charlotte Bag,Unspecified,10,0.85,8.5,France
489558,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,12,5.95,71.4,United Kingdom
489558,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,64,1.69,108.16,United Kingdom
489560,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,3,0.95,2.85,United Kingdom
489560,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489561,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489562,2009-12-01,Uncategorised,Party Bunting,Unspecified,1,4.65,4.65,United Kingdom
489562,2009-12-01,Uncategorised,Love Building Block Word,Unspecified,1,5.95,5.95,United Kingdom
489562,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,2,1.95,3.9,United Kingdom
489569,2009-12-01,Home Decor,Victorian Glass Hanging T-Light,Unspecified,12,1.25,15.0,United Kingdom
489569,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489571,2009-12-01,Bags & Storage,Jumbo  Bag Baroque Black White,Black,2,1.95,3.9,United Kingdom
489571,2009-12-01,Home Decor,Zinc Metal Heart Decoration,Unspecified,2,1.25,2.5,United Kingdom
489572,2009-12-01,Home Decor,Wooden Frame Antique White,White,2,2.95,5.9,United Kingdom
489572,2009-12-01,Bags & Storage,Jumbo  Bag Baroque Black White,Black,2,1.95,3.9,United Kingdom
489572,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489572,2009-12-01,Home Decor,Victorian Glass Hanging T-Light,Unspecified,6,1.25,7.5,United Kingdom
489573,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,5,5.95,29.75,United Kingdom
489574,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,4,1.25,5.0,United Kingdom
489575,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,12,1.25,15.0,United Kingdom
489575,2009-12-01,Home Decor,Red Toadstool Led Night Light,Red,12,1.65,19.8,United Kingdom
489575,2009-12-01,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489576,2009-12-01,Home Decor,Zinc Metal Heart Decoration,Unspecified,12,1.25,15.0,United Kingdom
489576,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,3,1.95,5.85,United Kingdom
489576,2009-12-01,Bags & Storage,Jumbo Bag Strawberry,Unspecified,3,1.95,5.85,United Kingdom
489576,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489579,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489580,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,24,1.25,30.0,United Kingdom
489580,2009-12-01,Kitchen & Dining,Pack Of 72 Skull Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489580,2009-12-01,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,24,0.55,13.2,United Kingdom
489580,2009-12-01,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489585,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,16,1.69,27.04,United Kingdom
489585,2009-12-01,Uncategorised,Love Building Block Word,Unspecified,3,5.95,17.85,United Kingdom
489590,2009-12-01,Home Decor,Red Hanging Heart T-Light Holder,Red,12,2.95,35.4,United Kingdom
489590,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489590,2009-12-01,Uncategorised,Love Building Block Word,Unspecified,6,5.95,35.7,United Kingdom
489593,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,8,1.69,13.52,United Kingdom
489593,2009-12-01,Stationery & Craft,Vintage Snap Cards,Unspecified,6,0.85,5.1,United Kingdom
489594,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,2,1.95,3.9,United Kingdom
489594,2009-12-01,Bags & Storage,Jumbo  Bag Baroque Black White,Black,2,1.95,3.9,United Kingdom
489594,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,2,1.95,3.9,United Kingdom
489594,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,12,1.25,15.0,United Kingdom
489594,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,3,0.95,2.85,United Kingdom
489594,2009-12-01,Bags & Storage,Lunch Bag Woodland,Unspecified,4,1.65,6.6,United Kingdom
489597,2009-12-01,Bags & Storage,Woodland Charlotte Bag,Unspecified,1,1.7,1.7,United Kingdom
489597,2009-12-01,Kitchen & Dining,Pack Of 72 Skull Cake Cases,Unspecified,1,1.3,1.3,United Kingdom
489597,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,12,2.57,30.84,United Kingdom
489597,2009-12-01,Home Decor,Red Toadstool Led Night Light,Red,2,3.43,6.86,United Kingdom
489597,2009-12-01,Home Decor,Red Hanging Heart T-Light Holder,Red,2,6.04,12.08,United Kingdom
489597,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,1,12.13,12.13,United Kingdom
489597,2009-12-01,Stationery & Craft,Vintage Snap Cards,Unspecified,5,1.7,8.5,United Kingdom
489597,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,1,4.3,4.3,United Kingdom
489597,2009-12-01,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,3,1.3,3.9,United Kingdom
489597,2009-12-01,Home Decor,Zinc Metal Heart Decoration,Unspecified,4,2.57,10.28,United Kingdom
489597,2009-12-01,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,5,1.3,6.5,United Kingdom
489597,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,3,6.04,18.12,United Kingdom
489598,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,10,1.95,19.5,United Kingdom
489598,2009-12-01,Home Decor,Hanging Heart Zinc T-Light Holder,Unspecified,12,0.85,10.2,United Kingdom
489598,2009-12-01,Bags & Storage,Jumbo Bag Strawberry,Unspecified,20,1.95,39.0,United Kingdom
489599,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,20,1.95,39.0,Portugal
489599,2009-12-01,Bags & Storage,Lunch Bag Cars Blue,Blue,30,1.65,49.5,Portugal
489599,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,30,1.95,58.5,Portugal
489599,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,48,1.69,81.12,Portugal
489608,2009-12-01,Bags & Storage,Jumbo  Bag Baroque Black White,Black,5,1.95,9.75,United Kingdom
489614,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,1,4.3,4.3,United Kingdom
489617,2009-12-01,Uncategorised,Love Building Block Word,Unspecified,1,5.95,5.95,United Kingdom
489617,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,1,5.95,5.95,United Kingdom
489619,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,2,1.95,3.9,United Kingdom
489635,2009-12-01,Uncategorised,Party Bunting,Unspecified,5,4.65,23.25,United Kingdom
489635,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,12,1.25,15.0,United Kingdom
489637,2009-12-01,Kitchen & Dining,Pack Of 72 Skull Cake Cases,Unspecified,12,0.55,6.6,United Kingdom
489641,2009-12-01,Bags & Storage,Strawberry Charlotte Bag,Unspecified,10,0.85,8.5,United Kingdom
489641,2009-12-01,Bags & Storage,Woodland Charlotte Bag,Unspecified,10,0.85,8.5,United Kingdom
489641,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489641,2009-12-01,Home Decor,Red Toadstool Led Night Light,Red,12,1.65,19.8,United Kingdom
489641,2009-12-01,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489641,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,12,1.25,15.0,United Kingdom
489641,2009-12-01,Bags & Storage,Lunch Bag  Black Skull.,Black,10,1.65,16.5,United Kingdom
489641,2009-12-01,Bags & Storage,Lunch Bag Woodland,Unspecified,10,1.65,16.5,United Kingdom
489642,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,1,2.95,2.95,United Kingdom
489644,2009-12-01,Home Decor,Wooden Frame Antique White,White,12,2.95,35.4,United Kingdom
489644,2009-12-01,Bags & Storage,Jumbo  Bag Baroque Black White,Black,20,1.95,39.0,United Kingdom
489644,2009-12-01,Bags & Storage,Jumbo  Bag Baroque Black White,Black,20,1.95,39.0,United Kingdom
489644,2009-12-01,Bags & Storage,Strawberry Charlotte Bag,Unspecified,20,0.85,17.0,United Kingdom
489645,2009-12-01,Home Decor,Bathroom Metal Sign,Unspecified,1,0.55,0.55,United Kingdom
489645,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,2,2.95,5.9,United Kingdom
489652,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,8,1.69,13.52,United Kingdom
489654,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,3,1.95,5.85,United Kingdom
489654,2009-12-01,Bags & Storage,Jumbo Bag Strawberry,Unspecified,3,1.95,5.85,United Kingdom
489654,2009-12-01,Home Decor,Wooden Frame Antique White,White,6,2.95,17.7,United Kingdom
489656,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,32,2.55,81.6,United Kingdom
489656,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,24,1.69,40.56,United Kingdom
489658,2009-12-01,Home Decor,Wooden Frame Antique White,White,6,2.95,17.7,United Kingdom
489665,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,12,2.95,35.4,United Kingdom
489666,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,12,2.95,35.4,United Kingdom
489667,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,24,1.69,40.56,United Kingdom
489667,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,32,2.55,81.6,United Kingdom
489669,2009-12-02,Home Decor,Red Hanging Heart T-Light Holder,Red,24,2.95,70.8,United Kingdom
489669,2009-12-02,Home Decor,Hanging Heart Zinc T-Light Holder,Unspecified,24,0.85,20.4,United Kingdom
489671,2009-12-02,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,120,0.42,50.4,United Kingdom
489672,2009-12-02,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,24,0.55,13.2,United Kingdom
489672,2009-12-02,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,72,0.55,39.6,United Kingdom
489674,2009-12-02,Home Decor,Hanging Heart Zinc T-Light Holder,Unspecified,12,0.85,10.2,United Kingdom
489674,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489674,2009-12-02,Home Decor,Victorian Glass Hanging T-Light,Unspecified,12,1.25,15.0,United Kingdom
489675,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,64,2.55,163.2,United Kingdom
489675,2009-12-02,Bags & Storage,Lunch Bag  Black Skull.,Black,50,1.45,72.5,United Kingdom
489679,2009-12-02,Home Decor,Red Hanging Heart T-Light Holder,Red,6,2.95,17.7,United Kingdom
489679,2009-12-02,Home Decor,Assorted Colour Bird Ornament,Unspecified,8,1.69,13.52,United Kingdom
489679,2009-12-02,Uncategorised,Home Building Block Word,Unspecified,3,5.95,17.85,United Kingdom
489679,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489681,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489683,2009-12-02,Home Decor,Assorted Colour Bird Ornament,Unspecified,24,1.69,40.56,United Kingdom
489683,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,12,2.95,35.4,United Kingdom
489695,2009-12-02,Stationery & Craft,Vintage Snap Cards,Unspecified,12,0.85,10.2,United Kingdom
489695,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489699,2009-12-02,Bags & Storage,Jumbo  Bag Baroque Black White,Black,20,1.95,39.0,United Kingdom
489699,2009-12-02,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,10,1.95,19.5,United Kingdom
489699,2009-12-02,Home Decor,Assorted Colour Bird Ornament,Unspecified,8,1.69,13.52,United Kingdom
489702,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,64,2.55,163.2,United Kingdom
489702,2009-12-02,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,100,1.65,165.0,United Kingdom
489702,2009-12-02,Bags & Storage,Jumbo Bag Strawberry,Unspecified,100,1.65,165.0,United Kingdom
489723,2009-12-02,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,72,1.06,76.32,United Kingdom
489743,2009-12-02,Kitchen & Dining,Pack Of 72 Skull Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489743,2009-12-02,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,24,0.55,13.2,United Kingdom
489766,2009-12-02,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,2,0.55,1.1,United Kingdom
489766,2009-12-02,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,1,1.95,1.95,United Kingdom
489782,2009-12-02,Bags & Storage,Lunch Bag Cars Blue,Blue,2,1.65,3.3,United Kingdom
489786,2009-12-02,Stationery & Craft,Vintage Snap Cards,Unspecified,48,0.85,40.8,United Kingdom
489786,2009-12-02,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,1,0.55,0.55,United Kingdom
489787,2009-12-02,Bags & Storage,Lunch Bag Cars Blue,Blue,1,1.65,1.65,United Kingdom
489787,2009-12-02,Bags & Storage,Jumbo  Bag Baroque Black White,Black,2,1.95,3.9,United Kingdom
489787,2009-12-02,Bags & Storage,Strawberry Charlotte Bag,Unspecified,2,0.85,1.7,United Kingdom
489787,2009-12-02,Bags & Storage,Lunch Bag Woodland,Unspecified,4,1.65,6.6,United Kingdom
489787,2009-12-02,Bags & Storage,Lunch Bag Cars Blue,Blue,1,1.65,1.65,United Kingdom
489787,2009-12-02,Bags & Storage,Jumbo Bag Strawberry,Unspecified,2,1.95,3.9,United Kingdom
489787,2009-12-02,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,2,1.95,3.9,United Kingdom
489787,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,4,0.95,3.8,United Kingdom
489791,2009-12-02,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,1,1.25,1.25,United Kingdom
489791,2009-12-02,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,2,1.95,3.9,United Kingdom
489791,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,2,0.95,1.9,United Kingdom
489792,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,8,2.95,23.6,United Kingdom
489792,2009-12-02,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,1,1.95,1.95,United Kingdom
489793,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489793,2009-12-02,Home Decor,Red Hanging Heart T-Light Holder,Red,6,2.95,17.7,United Kingdom
489795,2009-12-02,Uncategorised,Home Building Block Word,Unspecified,36,5.45,196.2,United Kingdom
489795,2009-12-02,Uncategorised,Love Building Block Word,Unspecified,36,5.45,196.2,United Kingdom
489795,2009-12-02,Home Decor,Wooden Frame Antique White,White,24,2.55,61.2,United Kingdom
489796,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,12,2.95,35.4,United Kingdom
489796,2009-12-02,Home Decor,Red Hanging Heart T-Light Holder,Red,6,2.95,17.7,United Kingdom
489796,2009-12-02,Home Decor,Assorted Colour Bird Ornament,Unspecified,16,1.69,27.04,United Kingdom
489800,2009-12-02,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,12,1.25,15.0,United Kingdom
489802,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489802,2009-12-02,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,1,1.95,1.95,United Kingdom
489805,2009-12-02,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,3,0.55,1.65,United Kingdom
489805,2009-12-02,Home Decor,Wooden Frame Antique White,White,4,2.95,11.8,United Kingdom
489805,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489805,2009-12-02,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,4,0.55,2.2,United Kingdom
489807,2009-12-02,Bags & Storage,Lunch Bag Cars Blue,Blue,1,1.65,1.65,United Kingdom
489807,2009-12-02,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,1,1.95,1.95,United Kingdom
489807,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489808,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,8,2.95,23.6,United Kingdom
489809,2009-12-02,Bags & Storage,Lunch Bag Woodland,Unspecified,10,1.65,16.5,United Kingdom
489810,2009-12-02,Uncategorised,Home Building Block Word,Unspecified,3,5.95,17.85,United Kingdom
489810,2009-12-02,Uncategorised,Love Building Block Word,Unspecified,3,5.95,17.85,United Kingdom
489810,2009-12-02,Home Decor,Wooden Frame Antique White,White,6,2.95,17.7,United Kingdom
489810,2009-12-02,Home Decor,Zinc Metal Heart Decoration,Unspecified,24,1.25,30.0,United Kingdom
489811,2009-12-02,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,72,1.06,76.32,United Kingdom
489814,2009-12-02,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489814,2009-12-02,Uncategorised,Party Bunting,Unspecified,3,4.65,13.95,United Kingdom
489815,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489816,2009-12-02,Bags & Storage,Lunch Bag  Black Skull.,Black,10,1.65,16.5,United Kingdom
489816,2009-12-02,Bags & Storage,Jumbo Bag Strawberry,Unspecified,5,1.95,9.75,United Kingdom
489816,2009-12-02,Bags & Storage,Strawberry Charlotte Bag,Unspecified,10,0.85,8.5,United Kingdom
489816,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489822,2009-12-02,Home Decor,Red Hanging Heart T-Light Holder,Red,1,2.95,2.95,United Kingdom
489822,2009-12-02,Home Decor,Assorted Colour Bird Ornament,Unspecified,2,1.69,3.38,United Kingdom
489822,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,4,0.95,3.8,United Kingdom
489824,2009-12-02,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,2,1.25,2.5,United Kingdom
489830,2009-12-02,Home Decor,White Hanging Heart T-Light Holder,White,1,2.95,2.95,United Kingdom
489830,2009-12-02,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,5,0.55,2.75,United Kingdom
489830,2009-12-02,Uncategorised,Love Building Block Word,Unspecified,1,5.95,5.95,United Kingdom
489830,2009-12-02,Uncategorised,Love Building Block Word,Unspecified,1,5.95,5.95,United Kingdom
489830,2009-12-02,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,2,0.95,1.9,United Kingdom
489832,2009-12-02,Bags & Storage,Jumbo Bag Strawberry,Unspecified,2,1.95,3.9,United Kingdom
