Date,Product Name,Product Category,Units Sold,Unit Price,Total Revenue,Region,Transaction ID
2024-09-01,Ribbed Knit Top,Women · Topwear,2,549,1098,Mumbai,T20240901-MUM
2024-09-01,Oversized Sweatshirt,Women · Topwear,2,1099,2198,Mumbai,T20240901-MUM
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,8,1399,11192,Mumbai,T20240901-MUM
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,7,699,4893,Mumbai,T20240901-MUM
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,5,899,4495,Mumbai,T20240901-MUM
2024-09-01,Puffer Jacket,Outerwear,3,2499,7497,Mumbai,T20240901-MUM
2024-09-01,Denim Jacket,Outerwear,5,1799,8995,Mumbai,T20240901-MUM
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,9,1999,17991,Mumbai,T20240901-MUM
2024-09-01,Cotton Handloom Saree,Ethnic & Occasion,6,1599,9594,Mumbai,T20240901-MUM
2024-09-01,Nehru Jacket,Ethnic & Occasion,2,1499,2998,Mumbai,T20240901-MUM
2024-09-01,Oversized Cotton Tee,Men · Topwear,13,349,4537,Delhi,T20240901-DEL
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,12,999,11988,Delhi,T20240901-DEL
2024-09-01,Zip-Up Hoodie,Men · Topwear,1,1299,1299,Delhi,T20240901-DEL
2024-09-01,Pique Polo T-Shirt,Men · Topwear,7,599,4193,Delhi,T20240901-DEL
2024-09-01,Slim Fit Chinos,Men · Bottomwear,3,1199,3597,Delhi,T20240901-DEL
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,9,1499,13491,Delhi,T20240901-DEL
2024-09-01,Cargo Joggers,Men · Bottomwear,8,899,7192,Delhi,T20240901-DEL
2024-09-01,Rayon Crop Top,Women · Topwear,11,399,4389,Delhi,T20240901-DEL
2024-09-01,Printed A-Line Kurti,Women · Topwear,8,799,6392,Delhi,T20240901-DEL
2024-09-01,Ribbed Knit Top,Women · Topwear,11,549,6039,Delhi,T20240901-DEL
2024-09-01,Oversized Sweatshirt,Women · Topwear,3,1099,3297,Delhi,T20240901-DEL
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,9,1399,12591,Delhi,T20240901-DEL
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,8,699,5592,Delhi,T20240901-DEL
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,6,899,5394,Delhi,T20240901-DEL
2024-09-01,Puffer Jacket,Outerwear,1,2499,2499,Delhi,T20240901-DEL
2024-09-01,Denim Jacket,Outerwear,1,1799,1799,Delhi,T20240901-DEL
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,3,1999,5997,Delhi,T20240901-DEL
2024-09-01,Cotton Handloom Saree,Ethnic & Occasion,6,1599,9594,Delhi,T20240901-DEL
2024-09-01,Nehru Jacket,Ethnic & Occasion,2,1499,2998,Delhi,T20240901-DEL
2024-09-01,Oversized Cotton Tee,Men · Topwear,9,349,3141,Hyderabad,T20240901-HYD
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,8,999,7992,Hyderabad,T20240901-HYD
2024-09-01,Zip-Up Hoodie,Men · Topwear,5,1299,6495,Hyderabad,T20240901-HYD
2024-09-01,Pique Polo T-Shirt,Men · Topwear,5,599,2995,Hyderabad,T20240901-HYD
2024-09-01,Slim Fit Chinos,Men · Bottomwear,10,1199,11990,Hyderabad,T20240901-HYD
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,7,1499,10493,Hyderabad,T20240901-HYD
2024-09-01,Cargo Joggers,Men · Bottomwear,5,899,4495,Hyderabad,T20240901-HYD
2024-09-01,Rayon Crop Top,Women · Topwear,13,399,5187,Hyderabad,T20240901-HYD
2024-09-01,Printed A-Line Kurti,Women · Topwear,8,799,6392,Hyderabad,T20240901-HYD
2024-09-01,Ribbed Knit Top,Women · Topwear,3,549,1647,Hyderabad,T20240901-HYD
2024-09-01,Oversized Sweatshirt,Women · Topwear,3,1099,3297,Hyderabad,T20240901-HYD
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,5,1399,6995,Hyderabad,T20240901-HYD
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,11,699,7689,Hyderabad,T20240901-HYD
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,6,899,5394,Hyderabad,T20240901-HYD
2024-09-01,Puffer Jacket,Outerwear,3,2499,7497,Hyderabad,T20240901-HYD
2024-09-01,Denim Jacket,Outerwear,1,1799,1799,Hyderabad,T20240901-HYD
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,7,1999,13993,Hyderabad,T20240901-HYD
2024-09-01,Cotton Handloom Saree,Ethnic & Occasion,2,1599,3198,Hyderabad,T20240901-HYD
2024-09-01,Nehru Jacket,Ethnic & Occasion,3,1499,4497,Hyderabad,T20240901-HYD
2024-09-01,Embroidered Sherwani,Ethnic & Occasion,1,3499,3499,Hyderabad,T20240901-HYD
2024-09-01,Oversized Cotton Tee,Men · Topwear,9,349,3141,Chennai,T20240901-CHE
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,8,999,7992,Chennai,T20240901-CHE
2024-09-01,Zip-Up Hoodie,Men · Topwear,4,1299,5196,Chennai,T20240901-CHE
2024-09-01,Pique Polo T-Shirt,Men · Topwear,6,599,3594,Chennai,T20240901-CHE
2024-09-01,Slim Fit Chinos,Men · Bottomwear,5,1199,5995,Chennai,T20240901-CHE
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,7,1499,10493,Chennai,T20240901-CHE
2024-09-01,Cargo Joggers,Men · Bottomwear,4,899,3596,Chennai,T20240901-CHE
2024-09-01,Rayon Crop Top,Women · Topwear,13,399,5187,Chennai,T20240901-CHE
2024-09-01,Printed A-Line Kurti,Women · Topwear,7,799,5593,Chennai,T20240901-CHE
2024-09-01,Ribbed Knit Top,Women · Topwear,3,549,1647,Chennai,T20240901-CHE
2024-09-01,Oversized Sweatshirt,Women · Topwear,1,1099,1099,Chennai,T20240901-CHE
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,2,1399,2798,Chennai,T20240901-CHE
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,5,699,3495,Chennai,T20240901-CHE
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,6,899,5394,Chennai,T20240901-CHE
2024-09-01,Puffer Jacket,Outerwear,1,2499,2499,Chennai,T20240901-CHE
2024-09-01,Denim Jacket,Outerwear,1,1799,1799,Chennai,T20240901-CHE
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,4,1999,7996,Chennai,T20240901-CHE
2024-09-01,Cotton Handloom Saree,Ethnic & Occasion,9,1599,14391,Chennai,T20240901-CHE
2024-09-01,Nehru Jacket,Ethnic & Occasion,1,1499,1499,Chennai,T20240901-CHE
2024-09-01,Embroidered Sherwani,Ethnic & Occasion,2,3499,6998,Chennai,T20240901-CHE
2024-09-01,Oversized Cotton Tee,Men · Topwear,5,349,1745,Pune,T20240901-PUN
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,8,999,7992,Pune,T20240901-PUN
2024-09-01,Zip-Up Hoodie,Men · Topwear,2,1299,2598,Pune,T20240901-PUN
2024-09-01,Pique Polo T-Shirt,Men · Topwear,7,599,4193,Pune,T20240901-PUN
2024-09-01,Slim Fit Chinos,Men · Bottomwear,3,1199,3597,Pune,T20240901-PUN
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,6,1499,8994,Pune,T20240901-PUN
2024-09-01,Cargo Joggers,Men · Bottomwear,7,899,6293,Pune,T20240901-PUN
2024-09-01,Rayon Crop Top,Women · Topwear,6,399,2394,Pune,T20240901-PUN
2024-09-01,Printed A-Line Kurti,Women · Topwear,7,799,5593,Pune,T20240901-PUN
2024-09-01,Ribbed Knit Top,Women · Topwear,2,549,1098,Pune,T20240901-PUN
2024-09-01,Oversized Sweatshirt,Women · Topwear,1,1099,1099,Pune,T20240901-PUN
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,6,1399,8394,Pune,T20240901-PUN
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,4,699,2796,Pune,T20240901-PUN
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,3,899,2697,Pune,T20240901-PUN
2024-09-01,Puffer Jacket,Outerwear,2,2499,4998,Pune,T20240901-PUN
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,5,1999,9995,Pune,T20240901-PUN
2024-09-01,Nehru Jacket,Ethnic & Occasion,1,1499,1499,Pune,T20240901-PUN
2024-09-01,Oversized Cotton Tee,Men · Topwear,13,349,4537,Kolkata,T20240901-KOL
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,7,999,6993,Kolkata,T20240901-KOL
2024-09-01,Zip-Up Hoodie,Men · Topwear,3,1299,3897,Kolkata,T20240901-KOL
2024-09-01,Pique Polo T-Shirt,Men · Topwear,7,599,4193,Kolkata,T20240901-KOL
2024-09-01,Slim Fit Chinos,Men · Bottomwear,4,1199,4796,Kolkata,T20240901-KOL
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,5,1499,7495,Kolkata,T20240901-KOL
2024-09-01,Cargo Joggers,Men · Bottomwear,5,899,4495,Kolkata,T20240901-KOL
2024-09-01,Rayon Crop Top,Women · Topwear,6,399,2394,Kolkata,T20240901-KOL
2024-09-01,Printed A-Line Kurti,Women · Topwear,4,799,3196,Kolkata,T20240901-KOL
2024-09-01,Ribbed Knit Top,Women · Topwear,2,549,1098,Kolkata,T20240901-KOL
2024-09-01,Oversized Sweatshirt,Women · Topwear,2,1099,2198,Kolkata,T20240901-KOL
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,8,1399,11192,Kolkata,T20240901-KOL
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,6,699,4194,Kolkata,T20240901-KOL
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,5,899,4495,Kolkata,T20240901-KOL
2024-09-01,Puffer Jacket,Outerwear,1,2499,2499,Kolkata,T20240901-KOL
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,2,1999,3998,Kolkata,T20240901-KOL
2024-09-01,Cotton Handloom Saree,Ethnic & Occasion,2,1599,3198,Kolkata,T20240901-KOL
2024-09-01,Nehru Jacket,Ethnic & Occasion,2,1499,2998,Kolkata,T20240901-KOL
2024-09-01,Embroidered Sherwani,Ethnic & Occasion,3,3499,10497,Kolkata,T20240901-KOL
2024-09-01,Oversized Cotton Tee,Men · Topwear,15,349,5235,Ahmedabad,T20240901-AHM
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,3,999,2997,Ahmedabad,T20240901-AHM
2024-09-01,Zip-Up Hoodie,Men · Topwear,3,1299,3897,Ahmedabad,T20240901-AHM
2024-09-01,Pique Polo T-Shirt,Men · Topwear,4,599,2396,Ahmedabad,T20240901-AHM
2024-09-01,Slim Fit Chinos,Men · Bottomwear,3,1199,3597,Ahmedabad,T20240901-AHM
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,5,1499,7495,Ahmedabad,T20240901-AHM
2024-09-01,Cargo Joggers,Men · Bottomwear,3,899,2697,Ahmedabad,T20240901-AHM
2024-09-01,Rayon Crop Top,Women · Topwear,7,399,2793,Ahmedabad,T20240901-AHM
2024-09-01,Printed A-Line Kurti,Women · Topwear,8,799,6392,Ahmedabad,T20240901-AHM
2024-09-01,Ribbed Knit Top,Women · Topwear,3,549,1647,Ahmedabad,T20240901-AHM
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,2,1399,2798,Ahmedabad,T20240901-AHM
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,2,699,1398,Ahmedabad,T20240901-AHM
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,4,899,3596,Ahmedabad,T20240901-AHM
2024-09-01,Denim Jacket,Outerwear,3,1799,5397,Ahmedabad,T20240901-AHM
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,1,1999,1999,Ahmedabad,T20240901-AHM
2024-09-01,Cotton Handloom Saree,Ethnic & Occasion,1,1599,1599,Ahmedabad,T20240901-AHM
2024-09-01,Embroidered Sherwani,Ethnic & Occasion,1,3499,3499,Ahmedabad,T20240901-AHM
2024-09-02,Oversized Cotton Tee,Men · Topwear,6,349,2094,Bengaluru,T20240902-BEN
2024-09-02,Linen Blend Casual Shirt,Men · Topwear,4,999,3996,Bengaluru,T20240902-BEN
2024-09-02,Zip-Up Hoodie,Men · Topwear,4,1299,5196,Bengaluru,T20240902-BEN
2024-09-02,Pique Polo T-Shirt,Men · Topwear,4,599,2396,Bengaluru,T20240902-BEN
2024-09-02,Slim Fit Chinos,Men · Bottomwear,3,1199,3597,Bengaluru,T20240902-BEN
2024-09-02,Straight Fit Denim Jeans,Men · Bottomwear,7,1499,10493,Bengaluru,T20240902-BEN
2024-09-02,Cargo Joggers,Men · Bottomwear,6,899,5394,Bengaluru,T20240902-BEN
2024-09-02,Rayon Crop Top,Women · Topwear,4,399,1596,Bengaluru,T20240902-BEN
2024-09-02,Printed A-Line Kurti,Women · Topwear,8,799,6392,Bengaluru,T20240902-BEN
2024-09-02,Ribbed Knit Top,Women · Topwear,5,549,2745,Bengaluru,T20240902-BEN
2024-09-02,Oversized Sweatshirt,Women · Topwear,2,1099,2198,Bengaluru,T20240902-BEN
2024-09-02,High-Rise Skinny Jeans,Women · Bottomwear,5,1399,6995,Bengaluru,T20240902-BEN
2024-09-02,Flowy Palazzo Pants,Women · Bottomwear,3,699,2097,Bengaluru,T20240902-BEN
2024-09-02,Puffer Jacket,Outerwear,3,2499,7497,Bengaluru,T20240902-BEN
2024-09-02,Denim Jacket,Outerwear,4,1799,7196,Bengaluru,T20240902-BEN
2024-09-02,Anarkali Kurta Set,Ethnic & Occasion,4,1999,7996,Bengaluru,T20240902-BEN
2024-09-02,Cotton Handloom Saree,Ethnic & Occasion,4,1599,6396,Bengaluru,T20240902-BEN
2024-09-02,Nehru Jacket,Ethnic & Occasion,3,1499,4497,Bengaluru,T20240902-BEN
2024-09-02,Oversized Cotton Tee,Men · Topwear,15,349,5235,Mumbai,T20240902-MUM
2024-09-02,Linen Blend Casual Shirt,Men · Topwear,6,999,5994,Mumbai,T20240902-MUM
2024-09-02,Pique Polo T-Shirt,Men · Topwear,5,599,2995,Mumbai,T20240902-MUM
2024-09-02,Slim Fit Chinos,Men · Bottomwear,6,1199,7194,Mumbai,T20240902-MUM
2024-09-02,Straight Fit Denim Jeans,Men · Bottomwear,8,1499,11992,Mumbai,T20240902-MUM
2024-09-02,Cargo Joggers,Men · Bottomwear,4,899,3596,Mumbai,T20240902-MUM
2024-09-02,Rayon Crop Top,Women · Topwear,6,399,2394,Mumbai,T20240902-MUM
2024-09-02,Printed A-Line Kurti,Women · Topwear,11,799,8789,Mumbai,T20240902-MUM
2024-09-02,Ribbed Knit Top,Women · Topwear,6,549,3294,Mumbai,T20240902-MUM
2024-09-02,Oversized Sweatshirt,Women · Topwear,7,1099,7693,Mumbai,T20240902-MUM
2024-09-02,High-Rise Skinny Jeans,Women · Bottomwear,10,1399,13990,Mumbai,T20240902-MUM
2024-09-02,Flowy Palazzo Pants,Women · Bottomwear,7,699,4893,Mumbai,T20240902-MUM
2024-09-02,Pleated Midi Skirt,Women · Bottomwear,2,899,1798,Mumbai,T20240902-MUM
2024-09-02,Puffer Jacket,Outerwear,1,2499,2499,Mumbai,T20240902-MUM
2024-09-02,Denim Jacket,Outerwear,5,1799,8995,Mumbai,T20240902-MUM
2024-09-02,Cotton Handloom Saree,Ethnic & Occasion,5,1599,7995,Mumbai,T20240902-MUM
2024-09-02,Nehru Jacket,Ethnic & Occasion,3,1499,4497,Mumbai,T20240902-MUM
2024-09-02,Oversized Cotton Tee,Men · Topwear,13,349,4537,Delhi,T20240902-DEL
2024-09-02,Linen Blend Casual Shirt,Men · Topwear,7,999,6993,Delhi,T20240902-DEL
2024-09-02,Zip-Up Hoodie,Men · Topwear,3,1299,3897,Delhi,T20240902-DEL
2024-09-02,Pique Polo T-Shirt,Men · Topwear,8,599,4792,Delhi,T20240902-DEL
2024-09-02,Slim Fit Chinos,Men · Bottomwear,4,1199,4796,Delhi,T20240902-DEL
2024-09-02,Straight Fit Denim Jeans,Men · Bottomwear,8,1499,11992,Delhi,T20240902-DEL
2024-09-02,Cargo Joggers,Men · Bottomwear,4,899,3596,Delhi,T20240902-DEL
2024-09-02,Rayon Crop Top,Women · Topwear,14,399,5586,Delhi,T20240902-DEL
2024-09-02,Printed A-Line Kurti,Women · Topwear,11,799,8789,Delhi,T20240902-DEL
2024-09-02,Ribbed Knit Top,Women · Topwear,4,549,2196,Delhi,T20240902-DEL
2024-09-02,Oversized Sweatshirt,Women · Topwear,4,1099,4396,Delhi,T20240902-DEL
2024-09-02,High-Rise Skinny Jeans,Women · Bottomwear,7,1399,9793,Delhi,T20240902-DEL
2024-09-02,Flowy Palazzo Pants,Women · Bottomwear,5,699,3495,Delhi,T20240902-DEL
2024-09-02,Pleated Midi Skirt,Women · Bottomwear,6,899,5394,Delhi,T20240902-DEL
2024-09-02,Puffer Jacket,Outerwear,2,2499,4998,Delhi,T20240902-DEL
2024-09-02,Anarkali Kurta Set,Ethnic & Occasion,7,1999,13993,Delhi,T20240902-DEL
2024-09-02,Cotton Handloom Saree,Ethnic & Occasion,4,1599,6396,Delhi,T20240902-DEL
2024-09-02,Nehru Jacket,Ethnic & Occasion,4,1499,5996,Delhi,T20240902-DEL
2024-09-02,Embroidered Sherwani,Ethnic & Occasion,1,3499,3499,Delhi,T20240902-DEL
2024-09-02,Oversized Cotton Tee,Men · Topwear,3,349,1047,Hyderabad,T20240902-HYD
2024-09-02,Linen Blend Casual Shirt,Men · Topwear,5,999,4995,Hyderabad,T20240902-HYD
2024-09-02,Zip-Up Hoodie,Men · Topwear,1,1299,1299,Hyderabad,T20240902-HYD
2024-09-02,Pique Polo T-Shirt,Men · Topwear,4,599,2396,Hyderabad,T20240902-HYD
2024-09-02,Slim Fit Chinos,Men · Bottomwear,2,1199,2398,Hyderabad,T20240902-HYD
2024-09-02,Straight Fit Denim Jeans,Men · Bottomwear,3,1499,4497,Hyderabad,T20240902-HYD
2024-09-02,Cargo Joggers,Men · Bottomwear,6,899,5394,Hyderabad,T20240902-HYD
2024-09-02,Rayon Crop Top,Women · Topwear,4,399,1596,Hyderabad,T20240902-HYD
2024-09-02,Printed A-Line Kurti,Women · Topwear,10,799,7990,Hyderabad,T20240902-HYD
2024-09-02,Ribbed Knit Top,Women · Topwear,2,549,1098,Hyderabad,T20240902-HYD
2024-09-02,Oversized Sweatshirt,Women · Topwear,4,1099,4396,Hyderabad,T20240902-HYD
2024-09-02,High-Rise Skinny Jeans,Women · Bottomwear,7,1399,9793,Hyderabad,T20240902-HYD
2024-09-02,Flowy Palazzo Pants,Women · Bottomwear,7,699,4893,Hyderabad,T20240902-HYD
2024-09-02,Pleated Midi Skirt,Women · Bottomwear,3,899,2697,Hyderabad,T20240902-HYD
2024-09-02,Puffer Jacket,Outerwear,3,2499,7497,Hyderabad,T20240902-HYD
2024-09-02,Denim Jacket,Outerwear,1,1799,1799,Hyderabad,T20240902-HYD
2024-09-02,Anarkali Kurta Set,Ethnic & Occasion,4,1999,7996,Hyderabad,T20240902-HYD
2024-09-02,Cotton Handloom Saree,Ethnic & Occasion,4,1599,6396,Hyderabad,T20240902-HYD
2024-09-02,Nehru Jacket,Ethnic & Occasion,4,1499,5996,Hyderabad,T20240902-HYD
2024-09-02,Embroidered Sherwani,Ethnic & Occasion,1,3499,3499,Hyderabad,T20240902-HYD
2024-09-02,Oversized Cotton Tee,Men · Topwear,10,349,3490,Chennai,T20240902-CHE
2024-09-02,Linen Blend Casual Shirt,Men · Topwear,3,999,2997,Chennai,T20240902-CHE
2024-09-02,Zip-Up Hoodie,Men · Topwear,1,1299,1299,Chennai,T20240902-CHE
2024-09-02,Pique Polo T-Shirt,Men · Topwear,4,599,2396,Chennai,T20240902-CHE
2024-09-02,Slim Fit Chinos,Men · Bottomwear,2,1199,2398,Chennai,T20240902-CHE
2024-09-02,Straight Fit Denim Jeans,Men · Bottomwear,4,1499,5996,Chennai,T20240902-CHE
2024-09-02,Cargo Joggers,Men · Bottomwear,4,899,3596,Chennai,T20240902-CHE
2024-09-02,Rayon Crop Top,Women · Topwear,7,399,2793,Chennai,T20240902-CHE
2024-09-02,Printed A-Line Kurti,Women · Topwear,12,799,9588,Chennai,T20240902-CHE
2024-09-02,Ribbed Knit Top,Women · Topwear,1,549,549,Chennai,T20240902-CHE
2024-09-02,Oversized Sweatshirt,Women · Topwear,3,1099,3297,Chennai,T20240902-CHE
2024-09-02,High-Rise Skinny Jeans,Women · Bottomwear,4,1399,5596,Chennai,T20240902-CHE
2024-09-02,Flowy Palazzo Pants,Women · Bottomwear,2,699,1398,Chennai,T20240902-CHE
2024-09-02,Pleated Midi Skirt,Women · Bottomwear,6,899,5394,Chennai,T20240902-CHE
2024-09-02,Denim Jacket,Outerwear,5,1799,8995,Chennai,T20240902-CHE
2024-09-02,Anarkali Kurta Set,Ethnic & Occasion,3,1999,5997,Chennai,T20240902-CHE
2024-09-02,Cotton Handloom Saree,Ethnic & Occasion,2,1599,3198,Chennai,T20240902-CHE
2024-09-02,Nehru Jacket,Ethnic & Occasion,2,1499,2998,Chennai,T20240902-CHE
2024-09-02,Embroidered Sherwani,Ethnic & Occasion,2,3499,6998,Chennai,T20240902-CHE
2024-09-02,Oversized Cotton Tee,Men · Topwear,4,349,1396,Pune,T20240902-PUN
2024-09-02,Linen Blend Casual Shirt,Men · Topwear,6,999,5994,Pune,T20240902-PUN
2024-09-02,Zip-Up Hoodie,Men · Topwear,1,1299,1299,Pune,T20240902-PUN
2024-09-02,Pique Polo T-Shirt,Men · Topwear,4,599,2396,Pune,T20240902-PUN
2024-09-02,Slim Fit Chinos,Men · Bottomwear,4,1199,4796,Pune,T20240902-PUN
2024-09-02,Straight Fit Denim Jeans,Men · Bottomwear,2,1499,2998,Pune,T20240902-PUN
2024-09-02,Cargo Joggers,Men · Bottomwear,6,899,5394,Pune,T20240902-PUN
2024-09-02,Rayon Crop Top,Women · Topwear,2,399,798,Pune,T20240902-PUN
2024-09-02,Printed A-Line Kurti,Women · Topwear,5,799,3995,Pune,T20240902-PUN
2024-09-02,Oversized Sweatshirt,Women · Topwear,3,1099,3297,Pune,T20240902-PUN
2024-09-02,High-Rise Skinny Jeans,Women · Bottomwear,5,1399,6995,Pune,T20240902-PUN
2024-09-02,Flowy Palazzo Pants,Women · Bottomwear,2,699,1398,Pune,T20240902-PUN
2024-09-02,Pleated Midi Skirt,Women · Bottomwear,1,899,899,Pune,T20240902-PUN
2024-09-02,Puffer Jacket,Outerwear,4,2499,9996,Pune,T20240902-PUN
2024-09-02,Denim Jacket,Outerwear,2,1799,3598,Pune,T20240902-PUN
2024-09-02,Anarkali Kurta Set,Ethnic & Occasion,2,1999,3998,Pune,T20240902-PUN
2024-09-02,Cotton Handloom Saree,Ethnic & Occasion,2,1599,3198,Pune,T20240902-PUN
2024-09-02,Nehru Jacket,Ethnic & Occasion,2,1499,2998,Pune,T20240902-PUN
2024-09-02,Oversized Cotton Tee,Men · Topwear,5,349,1745,Kolkata,T20240902-KOL
2024-09-02,Linen Blend Casual Shirt,Men · Topwear,6,999,5994,Kolkata,T20240902-KOL
2024-09-02,Zip-Up Hoodie,Men · Topwear,2,1299,2598,Kolkata,T20240902-KOL
2024-09-02,Slim Fit Chinos,Men · Bottomwear,4,1199,4796,Kolkata,T20240902-KOL
2024-09-02,Straight Fit Denim Jeans,Men · Bottomwear,3,1499,4497,Kolkata,T20240902-KOL
2024-09-02,Cargo Joggers,Men · Bottomwear,4,899,3596,Kolkata,T20240902-KOL
2024-09-02,Rayon Crop Top,Women · Topwear,5,399,1995,Kolkata,T20240902-KOL
2024-09-02,Printed A-Line Kurti,Women · Topwear,3,799,2397,Kolkata,T20240902-KOL
2024-09-02,Ribbed Knit Top,Women · Topwear,3,549,1647,Kolkata,T20240902-KOL
2024-09-02,High-Rise Skinny Jeans,Women · Bottomwear,5,1399,6995,Kolkata,T20240902-KOL
2024-09-02,Flowy Palazzo Pants,Women · Bottomwear,3,699,2097,Kolkata,T20240902-KOL
2024-09-02,Pleated Midi Skirt,Women · Bottomwear,6,899,5394,Kolkata,T20240902-KOL
2024-09-02,Puffer Jacket,Outerwear,2,2499,4998,Kolkata,T20240902-KOL
2024-09-02,Denim Jacket,Outerwear,1,1799,1799,Kolkata,T20240902-KOL
2024-09-02,Anarkali Kurta Set,Ethnic & Occasion,3,1999,5997,Kolkata,T20240902-KOL
2024-09-02,Cotton Handloom Saree,Ethnic & Occasion,6,1599,9594,Kolkata,T20240902-KOL
